Final.Rep1.Class1	Final.Rep2.Class1	Final.Rep3.Class1	Final.Rep4.Class1	Final.Rep2.Class2	Final.Rep3.Class2	Final.Rep4.Class2	Final.Rep1.Class2	Starting.Class1	Starting.Class2	Starting.Class3	Starting.Class4	Starting.Class5
Final.Rep1.Class1	0.663498464054955	0.647797964667088	0.6379375450637	0.653250093213493	0.768442281540242	0.769793885117286	0.778185278646978	0.772882518895771	0.683231735776478	0.765051145071694	0.792377473999512	0.705946060985848	0.78831387364213
Final.Rep2.Class1	0.647797964667088	0.618729116884507	0.612366849306535	0.631080292987989	0.760652925262617	0.761228887602458	0.771251302362467	0.765902169688011	0.669525811576647	0.753422896583608	0.786887155582986	0.690345993272587	0.781829734599678
Final.Rep3.Class1	0.6379375450637	0.612366849306535	0.592663537561914	0.620519127119809	0.762734215936943	0.762724488532415	0.774412603874934	0.768356246404568	0.655756284075965	0.751042303529158	0.787288902728286	0.680149668708512	0.780828813568527
Final.Rep4.Class1	0.653250093213493	0.631080292987989	0.620519127119809	0.630949438052588	0.764266161960448	0.76565734412077	0.774107846733454	0.769496455549295	0.671128003376941	0.760607901179942	0.789488146279083	0.697455337314943	0.78637938388634
Final.Rep2.Class2	0.768442281540242	0.760652925262617	0.762734215936943	0.764266161960448	0.668134020375341	0.700025437614551	0.676724443200618	0.684924436047633	0.782018038514262	0.770948026352462	0.785928575919044	0.787293703303854	0.779915175592892
Final.Rep3.Class2	0.769793885117286	0.761228887602458	0.762724488532415	0.76565734412077	0.700025437614551	0.702638188124437	0.699132595095715	0.704630323693426	0.781255826242445	0.756956630915763	0.784640779681002	0.785218605821743	0.774475619947855
Final.Rep4.Class2	0.778185278646978	0.771251302362467	0.774412603874934	0.774107846733454	0.676724443200618	0.699132595095715	0.659392033872643	0.68120514862659	0.792825301020772	0.777751238208759	0.788475491889115	0.795369213424643	0.785155261028301
Final.Rep1.Class2	0.772882518895771	0.765902169688011	0.768356246404568	0.769496455549295	0.684924436047633	0.704630323693426	0.68120514862659	0.67211116884434	0.787437650628951	0.777142070232153	0.785626387886001	0.789085780053157	0.78856641815329
Starting.Class1	0.683231735776478	0.669525811576647	0.655756284075965	0.671128003376941	0.782018038514262	0.781255826242445	0.792825301020772	0.787437650628951	0.648449859298933	0.738879436364364	0.788157169682502	0.714870055125319	0.781091755135201
Starting.Class2	0.765051145071694	0.753422896583608	0.751042303529158	0.760607901179942	0.770948026352462	0.756956630915763	0.777751238208759	0.777142070232153	0.738879436364364	0.56361455784409	0.780532468311403	0.762285665652342	0.780924425077865
Starting.Class3	0.792377473999512	0.786887155582986	0.787288902728286	0.789488146279083	0.785928575919044	0.784640779681002	0.788475491889115	0.785626387886001	0.788157169682502	0.780532468311403	0.709815127241707	0.788420169248795	0.788376283964676
Starting.Class4	0.705946060985848	0.690345993272587	0.680149668708512	0.697455337314943	0.787293703303854	0.785218605821743	0.795369213424643	0.789085780053157	0.714870055125319	0.762285665652342	0.788420169248795	0.688013976046462	0.778504489536274
Starting.Class5	0.78831387364213	0.781829734599678	0.780828813568527	0.78637938388634	0.779915175592892	0.774475619947855	0.785155261028301	0.78856641815329	0.781091755135201	0.780924425077865	0.788376283964676	0.778504489536274	0.532744549517781
